您好，请坐。  Assistant: 招待#您#请#坐。 Gt:您好#请#坐#
请把挂号单、病历本给我。  Assistant: 病#记录#给#我。 Gt:挂号#单子#病历本#先#给我#
医保卡带了吗，电子医保卡也可以。  Assistant: 医疗保险#带#好了#或者#电#信息#健康#保险#也#可以。 Gt:医保卡#带#？#或者#电子#医保卡#一样#可以#
可以把衣服、帽子、眼镜脱掉，放在边上。  Assistant: 衣服#帽#眼#罩#扔#旁边#好了。 Gt:口罩#帽子#摘下来#衣服#可以#放在#旁边#
我先帮你看看病史，稍等  Assistant: 帮助#您#检查#病史#等候。 Gt:我#先#帮你#看看#病史#稍等#
你的复诊时间就是今天，没错。  Assistant: 复查#日期#今天#正确+。 Gt:你#复诊#日期#是#今天#标准#
看病材料都齐了，OK  Assistant: 病#东西#全部#好了#OK。 Gt:治疗#材料#都#好了#OK#
现在正式开始问诊。  Assistant: 诊断#提问#开始。 Gt:现在#真#开始#问#诊治#
请问您哪里不舒服？  Assistant: 舒服#哪#问#您#哪里。 Gt:你#牙齿#不舒服#在哪里#
咬东西的时候牙齿会不舒服吗？  Assistant: 嚼#食物#时候#牙齿#舒服+#不会。 Gt:东西#咬#时候#牙齿#不舒服#有#？#
喝冷、热水的时候牙齿痛吗？  Assistant: 热#水#或者#凉#时候#齿#疼痛+是否。 Gt:喝#冷#或者#喝#热#牙齿#感觉#痛#有#？#
吃完饭后牙齿会卡食物吗？  Assistant: 吃饭#完#牙齿#夹#东西#能。 Gt:吃饭#后#牙缝#菜#塞#有#？#
这个症状一直存在，还是治疗后才出现的？  Assistant: 病状#出现#治疗#前#或者#发生#以后。 Gt:你#病情#以前#一直#仍旧#还是#来#这里#治疗#后#发生#？#
以前的检查报告给我看一下。  Assistant: 前#检查#汇报#给#我看。 Gt:以前#检查#报告#给我#看看#
这颗牙是什么时候治疗的？  Assistant: 牙齿#处理#日期#什么。 Gt:这#牙齿#以前#治疗#什么#时候#
这颗牙是在哪里治疗的？  Assistant: 牙齿#在哪里#处理#方法#哪。 Gt:这#牙齿#以前#治疗#在哪里#
这个是什么时候掉落的？  Assistant: 落#时间#什么。 Gt:这#牙齿#掉落#什么#时候#
上次治疗完，还有哪里觉得不舒服吗？  Assistant: 上次#病#好了#还#难受#哪。 Gt:上次#治疗#结束#觉得#其他#不舒服#还有#？#
哪一边牙齿不舒服？  Assistant: 哪#口腔#疼痛+#哪些。 Gt:牙齿#不舒服#在哪里# ？#
左边还是右边，上面还是下面？  Assistant: 旁边#或者#左#右#上#下#哪。 Gt:左边#还是#右边#？#上面#还是#下面#？#
哪边的牙齿痛？  Assistant: 口腔#疼痛#位置#哪些。 Gt:牙齿#痛#在哪里#？#
是只有这颗牙痛，还是这边小半个脸都痛？  Assistant: 牙齿#疼痛#或者#这里#半#脸#疼。 Gt:这#1#牙齿#痛#还是#一半#脸#都#痛#？#
晚上睡觉的时候会痛吗？  Assistant: 睡#晚上#疼痛#情况#怎样。 Gt:晚上#睡觉#牙齿#痛#有#？#
请躺下，我检查一下你的牙齿。  Assistant: 躺#下#我#检查#你#牙。 Gt:那#椅子#躺下#你#牙齿#我#帮你#检查#
我敲一敲，如果痛就告诉我。  Assistant: 听#声音#疼痛#告诉#我。 Gt:等下#你#牙齿#我#敲一敲#如果#痛#告诉我#
